ID,Name,Age,Center,Forward,Guard,A-10,A-Sun,AAC,ACC,AEC,Big 12,Big East,Big Sky,Big South,Big Ten,Big West,CAA,CUSA,Horizon,Ind,Ivy,MAAC,MAC,MEAC,MVC,MWC,Mid-Cont,NEC,OVC,Pac-10,Pac-12,Patriot,SEC,Southern,Southland,Summit,Sun Belt,WAC,WCC,Height,Weight,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,DraftCategory,DraftPick
langston-galloway-1,Langston Galloway,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,91,2014,34,34,36.2,5.6,12.6,2.4,5.4,3.2,7.2,3.4,4.1,0.8,3.4,4.3,1.6,1.1,0.5,0.8,2.4,17.7,5.08,0.61,0.57,0.57,0.322,6.9,9.3,1.5,5.4,22.4,4.2,1.6,5.8,0.19,4,80
tyler-johnson-2,Tyler Johnson,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,193,84,2014,35,35,33.6,5.6,11.7,4.0,7.9,1.6,3.8,3.1,3.8,1.6,5.7,7.3,2.9,1.0,0.4,1.3,2.8,15.9,3.75,0.589,0.5489999999999999,0.32299999999999995,0.325,12.6,20.3,1.2,9.1,23.5,4.0,1.6,5.6,0.18899999999999997,4,80
tarik-black-1,Tarik Black,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,117,2014,33,15,13.5,2.2,3.2,2.2,3.2,0.0,0.0,1.0,1.7,1.2,2.6,3.9,0.3,0.3,0.5,0.7,2.8,5.5,11.4,0.68,0.6920000000000001,0.009000000000000001,0.514,16.8,3.9,4.0,14.7,17.3,1.2,0.8,2.0,0.18100000000000002,4,80
jarell-eddie-1,Jarell Eddie,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,99,2014,31,30,32.6,4.3,12.2,1.7,5.3,2.6,6.9,2.0,2.6,1.0,4.4,5.4,1.2,0.4,0.4,1.7,1.5,13.3,5.99,0.495,0.462,0.565,0.215,9.4,9.5,1.3,11.3,25.0,1.0,1.1,2.1,0.08199999999999999,4,80
okaro-white-1,Okaro White,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,92,2014,36,35,30.1,4.6,9.0,3.9,7.2,0.7,1.8,3.7,4.7,2.1,4.7,6.8,0.9,0.8,1.1,1.9,3.0,13.6,8.13,0.608,0.551,0.198,0.52,13.2,7.0,3.9,14.4,22.6,3.1,2.0,5.1,0.187,4,80
bryce-cotton-1,Bryce Cotton,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,74,2014,35,35,39.9,6.6,15.7,4.4,9.7,2.2,6.0,6.5,7.6,0.5,3.0,3.5,5.9,1.0,0.1,2.4,1.5,21.8,7.85,0.565,0.489,0.38299999999999995,0.483,5.3,34.8,0.2,11.2,28.3,5.5,1.2,6.7,0.191,4,80
torrey-craig-1,Torrey Craig,23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,97,2014,34,34,32.7,6.0,14.7,4.0,7.9,2.0,6.9,2.7,4.4,2.0,5.0,7.0,2.3,0.9,0.8,2.5,2.5,16.7,-4.61,0.498,0.47600000000000003,0.466,0.302,12.0,15.2,3.0,12.8,29.9,1.5,1.7,3.2,0.115,4,80
xavier-munford-1,Xavier Munford,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,81,2014,32,32,35.6,5.8,14.3,3.8,8.4,1.9,5.9,3.5,4.9,0.6,3.4,4.0,2.4,1.1,0.4,2.8,2.0,16.9,3.26,0.508,0.469,0.415,0.34299999999999997,6.5,16.1,1.1,14.2,27.7,1.2,1.6,2.8,0.099,4,80
david-stockton-1,David Stockton,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,74,2014,36,36,27.8,2.6,5.9,2.1,4.0,0.4,1.9,1.9,2.5,0.3,2.1,2.4,4.2,1.5,0.2,2.0,2.3,7.4,5.36,0.526,0.47200000000000003,0.325,0.425,4.9,25.6,0.6,22.3,16.8,1.2,1.7,2.9,0.11599999999999999,4,80
keith-appling-1,Keith Appling,22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,83,2014,35,32,31.5,3.8,8.3,2.8,5.7,1.0,2.7,2.7,4.0,0.4,2.7,3.0,4.5,1.2,0.4,2.1,2.7,11.2,9.38,0.545,0.51,0.322,0.483,5.7,25.9,1.5,17.1,20.5,2.1,1.7,3.7,0.135,4,80
coty-clarke-1,Coty Clarke,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,105,2014,34,30,22.1,3.1,7.0,2.4,5.3,0.7,1.7,2.5,3.1,1.4,4.2,5.6,2.4,1.5,0.5,1.3,3.0,9.4,5.57,0.556,0.494,0.244,0.441,13.6,20.1,2.4,13.5,21.0,1.9,1.9,3.7,0.19899999999999998,4,80
cj-fair-1,C.J. Fair,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,97,2014,34,34,37.8,6.4,14.9,5.7,12.3,0.7,2.6,3.0,4.2,1.7,4.7,6.4,1.3,1.3,0.8,2.5,2.1,16.5,7.25,0.489,0.45299999999999996,0.172,0.281,10.3,7.8,2.9,12.9,27.9,1.4,2.4,3.8,0.11900000000000001,4,80
richard-solomon-1,Richard Solomon,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208,106,2014,30,29,29.2,4.2,7.7,4.2,7.7,0.0,0.0,2.7,5.0,2.8,7.5,10.2,1.3,1.1,1.3,1.8,2.9,11.0,7.44,0.547,0.5429999999999999,0.0,0.657,20.1,8.8,4.4,15.2,21.2,1.4,1.9,3.3,0.15,4,80
patric-young-1,Patric Young,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206,108,2014,39,37,26.1,4.4,8.1,4.4,8.1,0.0,0.0,2.2,3.7,2.6,3.6,6.2,0.8,0.6,1.1,1.3,2.6,11.0,8.54,0.557,0.541,0.0,0.462,14.3,6.7,4.6,11.3,22.9,2.5,2.6,5.1,0.2,4,80
eric-atkins-1,Eric Atkins,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,82,2014,32,32,37.8,5.0,11.7,3.1,6.6,1.9,5.2,2.0,3.0,0.9,1.9,2.8,4.9,1.2,0.2,1.9,2.3,13.9,6.78,0.528,0.505,0.44,0.256,4.5,25.2,0.5,12.7,21.3,2.6,0.6,3.2,0.10400000000000001,4,80
