ID,Name,Age,Position,Height,Weight,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,DraftCategory,DraftPick
derek-cooke-1,"Derek Cooke, Jr.",23,Forward,206,99,2015,Wyoming,MWC,35,34,26.3,3.3,4.6,.720,3.3,4.6,.719,0.0,0.0,1.000,1.4,2.6,.543,1.5,4.4,5.8,0.9,0.9,0.9,1.4,2.2,8.1,-0.04,20.8,.691,.724,.006,.571,258,8.2,21.0,15.1,9.0,2.2,4.2,19.3,17.0,2.0,2.2,4.2,.181,Undrafted,80
wade-baldwin-1,Wade Baldwin IV,20,Guard,190,88,2016,Vanderbilt,SEC,33,30,30.4,4.1,9.6,.427,2.8,6.5,.437,1.2,3.1,.406,4.7,5.9,.799,0.4,3.6,4.0,5.2,1.2,0.3,2.8,2.6,14.1,8.68,20.7,.571,.492,.320,.614,505,1.5,11.6,7.0,33.7,2.3,1.0,18.2,25.3,2.7,1.8,4.5,.179,Top30,17
gary-payton-2,Gary Payton II,23,Guard,190,79,2016,Oregon State,Pac-12,32,32,34.3,6.4,13.2,.486,5.7,11.0,.520,0.7,2.2,.314,2.5,3.8,.642,2.4,5.4,7.8,5.0,2.5,0.5,2.3,2.7,16.0,9.26,25.9,.532,.512,.166,.291,558,7.8,18.0,12.8,32.9,4.3,1.7,13.3,25.6,3.0,2.1,5.0,.184,Undrafted,80
james-webb-1,James Webb III,22,Forward,206,91,2016,Boise State,MWC,31,31,30.5,5.7,11.5,.494,4.8,8.0,.602,0.9,3.5,.248,3.5,5.1,.684,2.4,6.7,9.1,1.1,1.4,0.6,1.6,3.0,15.8,3.13,24.5,.565,.532,.304,.441,463,9.2,27.0,17.9,7.7,2.6,2.5,10.2,25.4,2.6,2.1,4.7,.199,Undrafted,80
derrick-walton-1,"Derrick Walton, Jr.",22,Guard,183,83,2017,Michigan,Big Ten,38,37,34.8,4.5,10.3,.436,1.9,4.2,.456,2.6,6.1,.422,3.9,4.5,.876,0.4,4.3,4.8,5.0,1.1,0.0,1.7,1.7,15.5,10.17,24.3,.623,.561,.592,.434,629,1.7,16.2,9.1,27.3,2.0,0.1,12.3,23.0,5.5,1.7,7.1,.216,Undrafted,80
james-blackmon-1,"James Blackmon, Jr.",22,Guard,193,86,2017,Indiana,Big Ten,30,30,30.5,5.8,12.2,.477,2.8,5.0,.553,3.0,7.2,.423,2.4,2.9,.837,1.0,3.8,4.8,1.9,0.7,0.0,1.9,1.8,17.0,8.16,22.5,.630,.601,.589,.236,450,3.9,13.8,9.1,12.2,1.3,0.1,12.5,24.8,3.3,0.9,4.2,.183,Undrafted,80
marvin-bagleyiii-1,Marvin Bagley III,19,Forward,211,106,2018,Duke,ACC,33,32,33.9,8.2,13.3,.614,7.5,11.6,.647,0.7,1.8,.397,4.0,6.3,.627,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,9.71,30.6,.643,.640,.132,.475,630,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,4.8,2.1,6.9,.248,Top15,2
jaren-jacksonjr-1,"Jaren Jackson, Jr.",18,Forward,211,109,2018,Michigan State,Big Ten,35,34,21.8,3.4,6.6,.513,2.3,3.9,.596,1.1,2.7,.396,3.0,3.8,.797,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,7.10,26.9,.647,.595,.414,.573,347,8.8,19.7,15.0,9.3,1.6,14.3,17.4,23.5,2.3,2.2,4.6,.239,Top15,4
wendell-carterjr-1,"Wendell Carter, Jr.",19,Forward,208,117,2018,Duke,ACC,37,37,26.9,4.8,8.6,.561,4.3,7.4,.586,0.5,1.2,.413,3.4,4.5,.738,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,9.71,28.2,.628,.591,.144,.527,501,12.8,23.2,18.4,13.0,1.7,7.6,15.8,22.8,3.6,2.3,5.9,.239,Top15,7
michael-porterjr-1,"Michael Porter, Jr.",19,Forward,208,97,2018,Missouri,SEC,3,1,17.7,3.3,10.0,.333,2.3,6.7,.350,1.0,3.3,.300,2.3,3.0,.778,1.3,5.3,6.7,0.3,1.0,0.3,1.0,2.0,10.0,9.19,20.0,.438,.383,.333,.300,27,9.4,32.5,21.8,4.6,3.4,2.0,8.0,36.5,0.0,0.1,0.2,.128,Top15,14
troy-brown-5,"Troy Brown, Jr.",18,Forward,201,97,2018,Oregon,Pac-12,35,35,31.2,4.1,9.2,.444,3.2,6.1,.524,0.9,3.1,.291,2.2,3.0,.743,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,4.84,16.6,.532,.494,.342,.326,424,5.9,18.0,12.0,18.7,2.9,0.8,18.8,21.0,1.5,1.6,3.1,.114,Top15,15
melvin-frazier-1,"Melvin Frazier, Jr.",21,Guard,196,90,2018,Tulane,AAC,30,30,34.4,6.0,10.7,.556,4.8,7.7,.623,1.2,3.0,.385,2.8,3.9,.712,1.2,4.4,5.6,2.9,2.2,0.7,2.6,2.0,15.9,2.08,22.4,.631,.610,.283,.366,442,3.9,14.6,9.3,17.9,3.6,2.2,16.9,22.2,2.4,1.6,3.9,.152,Top45,35
gary-trentjr-1,"Gary Trent, Jr.",19,Guard,198,94,2018,Duke,ACC,37,37,33.9,4.8,11.5,.415,2.2,5.0,.430,2.6,6.5,.402,2.3,2.6,.876,0.8,3.4,4.2,1.4,1.2,0.1,1.0,1.7,14.5,9.71,16.7,.567,.528,.564,.227,468,2.9,10.3,6.8,6.8,1.9,0.4,7.4,19.5,3.3,1.8,5.1,.163,Top45,37
bonzie-colson-1,"Bonzie Colson, Jr.",22,Forward,196,102,2018,Notre Dame,ACC,21,21,32.4,7.5,14.9,.503,6.7,12.1,.551,0.8,2.8,.293,4.0,5.2,.761,2.3,7.8,10.1,0.9,1.7,2.2,1.5,1.7,19.7,7.94,31.9,.569,.530,.186,.349,362,8.2,26.6,17.7,6.7,3.1,7.4,8.1,30.2,2.2,1.7,3.9,.227,Undrafted,80
